Track Name,Category,Exam Name,Conducting Body,Question Count,Completed Years,Pending Years,Status
Govt Exams Track,UPSC,Civil Services Examination (CSE),UPSC,"1,213","2025, 2024, 2023, 2022, 2019","2021, 2020, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",27.8% Synced
Govt Exams Track,UPSC,Indian Forest Service (IFoS),UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,UPSC,Engineering Services Examination (ESE/IES),UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,UPSC,Combined Defence Services (CDS),UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,UPSC,National Defence Academy (NDA) & NA,UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,UPSC,Combined Medical Services (CMS),UPSC,"2,117","2020, 2019, 2016","2025, 2024, 2023, 2022, 2021, 2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",16.7% Synced
Govt Exams Track,UPSC,Indian Economic Service / Indian Statistical Service (IES/ISS),UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,UPSC,Combined Geo-Scientist Examination,UPSC,305,2020,"2025, 2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",5.6% Synced
Govt Exams Track,UPSC,EPFO Enforcement Officer/Accounts Officer,UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,UPSC,Central Armed Police Forces (Assistant Commandant - CAPF AC),UPSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",Not Started
Govt Exams Track,SSC,SSC Combined Graduate Level (CGL),Staff Selection Commission (SSC),0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC Combined Higher Secondary Level (CHSL),SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC Multi Tasking Staff (MTS),SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC GD Constable,SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC Junior Engineer (JE),SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC CPO (SI),SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC Stenographer Grade C & D,SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC Selection Post (Phase-wise),SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,SSC,SSC CHSL DEO (Data Entry Operator),SSC,0,N/A,"2025, 2024, 2023, 2022, 2021, 2020",Not Started
Govt Exams Track,Insurance,LIC AAO,LIC,0,N/A,,Not Started
Govt Exams Track,Insurance,LIC ADO,LIC,0,N/A,,Not Started
Govt Exams Track,Insurance,NIACL AO,New India Assurance,0,N/A,,Not Started
Govt Exams Track,Insurance,NIACL Assistant,New India Assurance,0,N/A,,Not Started
Govt Exams Track,Insurance,UIIC AO,United India Insurance Company,0,N/A,,Not Started
Govt Exams Track,Insurance,GIC Assistant Manager (AM),GIC,0,N/A,,Not Started
Govt Exams Track,Insurance,AIC Management Trainee (MTS),Agriculture Insurance Company,0,N/A,,Not Started
Govt Exams Track,Insurance,Specialized Insurance Officer Exams (various) - Variant 1,Insurance Companies,0,N/A,,Not Started
Govt Exams Track,Insurance,Specialized Insurance Officer Exams (various) - Variant 2,Insurance Companies,0,N/A,,Not Started
Govt Exams Track,Insurance,Specialized Insurance Officer Exams (various) - Variant 3,Insurance Companies,0,N/A,,Not Started
Govt Exams Track,Insurance,Specialized Insurance Officer Exams (various) - Variant 4,Insurance Companies,0,N/A,,Not Started
Govt Exams Track,Insurance,Specialized Insurance Officer Exams (various) - Variant 5,Insurance Companies,0,N/A,,Not Started
Govt Exams Track,Railways,RRB NTPC,Railway Recruitment Board (RRB),248,"2017, 2016","2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2015, 2014, 2013, 2012, 2011, 2010",11.8% Synced
Govt Exams Track,Railways,RRB JE,RRB,233,2024,"2026, 2025, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",5.9% Synced
Govt Exams Track,Railways,RRB Group D,RRB,"1,797","2026, 2025, 2018, 2013","2024, 2023, 2022, 2021, 2020, 2019, 2017, 2016, 2015, 2014, 2012, 2011, 2010",23.5% Synced
Govt Exams Track,Railways,RRB ALP,RRB,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,RRB Technician,RRB,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,RPF Constable,Railway Protection Force (RPF),0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,RPF Sub-Inspector (SI),RPF,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,Railway Zone-specific Technician/Technical Assistant (Zone variant) - Variant 3,Railway Zone,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,Railway Zone-specific Technician/Technical Assistant (Zone variant) - Variant 4,Railway Zone,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,Railway Zone-specific Technician/Technical Assistant (Zone variant) - Variant 5,Railway Zone,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,IPPB / Regional Rural Bank (RBI-linked) Recruitment - Variant 3,IPPB / RRBs,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,Railway Zone-specific Technician/Technical Assistant (Zone variant) - Variant 1,Railway Zone,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Railways,Railway Zone-specific Technician/Technical Assistant (Zone variant) - Variant 2,Railway Zone,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",Not Started
Govt Exams Track,Defence,AFCAT,Indian Air Force,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Defence,Indian Navy SSR,Indian Navy,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Defence,Indian Navy AA,Indian Navy,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Defence,Indian Army Agniveer,Indian Army,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Defence,Territorial Army Officer,Indian Army,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Defence,Coast Guard Navik / Yantrik,Indian Coast Guard,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Defence,Military Nursing Service (MNS),DGMS / Armed Forces,0,N/A,"2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Not Started
Govt Exams Track,Teaching,CTET,CBSE,0,N/A,,Not Started
Govt Exams Track,Teaching,UGC NET,UGC / NTA,0,N/A,,Not Started
Govt Exams Track,Teaching,KVS Recruitment PRT/TGT/PGT,KVS,0,N/A,,Not Started
Govt Exams Track,Teaching,NVS Recruitment,NVS,0,N/A,,Not Started
Govt Exams Track,Teaching,DSSSB Teaching Posts,DSSSB,0,N/A,,Not Started
Govt Exams Track,Teaching,State TET (All States Individual),State Education Boards,0,N/A,,Not Started
Govt Exams Track,Judiciary,State Judicial Services (Civil Judge),State High Courts / PSC,0,N/A,,Not Started
Govt Exams Track,Judiciary,District Judge Recruitment,State High Courts,0,N/A,,Not Started
Govt Exams Track,Judiciary,High Court Clerk / Junior Assistant,State High Courts,0,N/A,,Not Started
Govt Exams Track,Judiciary,Lower Judiciary (Judicial Magistrate),State Judiciary,0,N/A,,Not Started
Govt Exams Track,PSU,ONGC Graduate Trainee / GATE-based Recruitment,ONGC,0,N/A,,Not Started
Govt Exams Track,PSU,IOCL Recruitment (Executive / Technical),IOCL,0,N/A,,Not Started
Govt Exams Track,PSU,BHEL Recruitment (Executive / Technician),BHEL,0,N/A,,Not Started
Govt Exams Track,PSU,SAIL Recruitment,SAIL,0,N/A,,Not Started
Govt Exams Track,PSU,NTPC Executive Trainee,NTPC,0,N/A,,Not Started
Govt Exams Track,PSU,BEL Recruitment,BEL,0,N/A,,Not Started
Govt Exams Track,PSU,DRDO Scientist / Technician Recruitment,DRDO,0,N/A,,Not Started
Govt Exams Track,PSU,ISRO Scientist / Technical Recruitment,ISRO,0,N/A,,Not Started
Govt Exams Track,PSU,HAL Recruitment,HAL,0,N/A,,Not Started
Govt Exams Track,PSU,Coal India Recruitment,Coal India,0,N/A,,Not Started
Govt Exams Track,PSU,Power Grid Recruitment,Power Grid,0,N/A,,Not Started
Govt Exams Track,PSU,NPCIL Recruitment,NPCIL,0,N/A,,Not Started
Govt Exams Track,PSU,GAIL Executive Trainee Recruitment - Variant 1,GAIL,0,N/A,,Not Started
Govt Exams Track,PSU,BEML Recruitment (Technical / Management) - Variant 1,BEML,0,N/A,,Not Started
