Track Name,Category,Topics and Domain Covered,Sub-Domain,Question Count,Status,Completed Years,Pending Years
Tech Track,DSA — Data Structures & Algorithms,Arrays,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Strings,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Hashing,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Linked Lists,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Stack,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Queue / Deque,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Binary Search,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Trees,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Binary Search Trees (BST),NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Graphs,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Recursion,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Backtracking,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Dynamic Programming,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Greedy Algorithms,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,DSA — Data Structures & Algorithms,Heap / Priority Queue,NO Sub-Domain,0,Not Started,N/A,N/A
Tech Track,Domain-Based,AI / Machine Learning,ML Algorithms,0,Not Started,N/A,N/A
Tech Track,Domain-Based,AI / Machine Learning,Data Processing,0,Not Started,N/A,N/A
Tech Track,Domain-Based,AI / Machine Learning,Model Logic,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Web Development,Frontend Logic,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Web Development,Backend APIs,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Web Development,DOM Manipulation,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Software Engineering,Code Design,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Software Engineering,OOP Implementation,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Software Engineering,Modular Programming,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Programming Languages,Language Syntax,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Programming Languages,Memory Behavior,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Programming Languages,Language-Specific Problems,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Operating Systems & Networking,Process Scheduling,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Operating Systems & Networking,Threads,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Operating Systems & Networking,Networking Logic,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Behavioral / Logical,Logical Reasoning,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Behavioral / Logical,Scenario-Based Coding,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Cloud & DevOps,Infrastructure Automation,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Cloud & DevOps,CI/CD Logic,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Cloud & DevOps,Cloud Service Implementation,0,Not Started,N/A,N/A
Tech Track,Domain-Based,System Design,Scalable Architecture,0,Not Started,N/A,N/A
Tech Track,Domain-Based,System Design,Distributed System Logic,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Databases,SQL Queries,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Databases,Schema Design,0,Not Started,N/A,N/A
Tech Track,Domain-Based,Databases,Query Optimization,0,Not Started,N/A,N/A
