BANKING / RBI & DEVELOPMENT BANKS EXAMINATION DATABASE,,,,,,,,
"Structured dataset covering conduct history, paper availability, and exam pattern | Reference period: up to 2025",,,,,,,,
,,,,,,,,
Category,"Sub-Category
(Exam Name)","Conducted Years
(Range)","Gap / Not-Conducted
Years (within range)","Question Paper
Availability (Years)",No. of Stages,"Stage 1
(Type)","Stage 2
(Type)","Stage 3
(Type)"
RBI (Reserve Bank of India),"RBI Grade B
(DR – General)","2009–2025
(annual recruitment drive)","2020 (COVID – exam held 2021 for 2020 cycle)
2022 – no new notification","2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017,
2018, 2019, 2021, 2023, 2024, 2025",3,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ + Written
(Mains – Obj. + Descriptive)","Phase III: Interview
(Personal Interview)"
RBI (Reserve Bank of India),RBI Assistant,"2012–2023
(not held every year)","2013, 2015, 2016, 2019, 2021, 2022
(no notification in these years)","2012, 2014, 2017, 2018, 2020, 2023",2,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ
(Mains – Obj.)","—
(No Stage 3)"
NABARD (National Bank for Agriculture & Rural Development),"NABARD Grade A
(RDBS – General)","2014–2024
(mostly annual)","2016, 2020 (COVID delay – held 2021)
2022 – merged with 2023 cycle","2014, 2015, 2017, 2018, 2019, 2021, 2023, 2024",3,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ + Written
(Mains – Obj. + Descriptive)",Phase III: Interview
NABARD (National Bank for Agriculture & Rural Development),"NABARD Grade B
(Manager)","2014–2024
(mostly annual)","2016, 2019, 2020 (COVID)
2022 – no fresh cycle","2014, 2015, 2017, 2018, 2021, 2023, 2024",3,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ + Written
(Mains – Obj. + Descriptive)",Phase III: Interview
SIDBI (Small Industries Dev. Bank of India),"SIDBI Grade A
(Assistant Manager)","2016–2024
(irregular; not annual)","2017, 2018, 2020 (COVID)
2022 – no notification","2016, 2019, 2021, 2023, 2024",3,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ + Written
(Mains – Obj. + Descriptive)",Phase III: Interview
EXIM Bank (Export-Import Bank of India),"EXIM Bank MT
(Management Trainee)","2014–2024
(irregular; approx. every 2–3 yrs)","2015, 2016, 2018, 2020 (COVID)
2022 – no notification","2014, 2017, 2019, 2021, 2023, 2024",3,"Phase I: MCQ
(Online Written – Obj.)","Phase II: Written
(Descriptive / GD)",Phase III: Interview
"IPPB / Regional Rural Banks
(RBI-linked Recruitment)","IPPB Officer Scale-I
(Variant 1 – Direct)","2017–2023
(IPPB launched 2018; exams since 2017 pilot)","2019, 2020 (COVID)
2022 – absorbed in IBPS RRB cycle","2017, 2018, 2021, 2023",2,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ
(Mains – Obj.)","—
(No Stage 3; merit-based)"
"IPPB / Regional Rural Banks
(RBI-linked Recruitment)","IBPS RRB Officer Scale-I
(Variant 2 – IBPS Channel)","2012–2024
(annual via IBPS CRP RRB)","2020 (COVID – exam postponed to 2021)
No other major gaps","2012, 2013, 2014, 2015, 2016, 2017, 2018,
2019, 2021, 2022, 2023, 2024",2,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ
(Mains – Obj.)","—
(No Stage 3; merit-based)"
"IPPB / Regional Rural Banks
(RBI-linked Recruitment)","IBPS RRB Office Assistant
(Variant 4 – Multipurpose)","2012–2024
(annual via IBPS CRP RRB)","2020 (COVID – held in 2021)
No other major gaps","2012, 2013, 2014, 2015, 2016, 2017, 2018,
2019, 2021, 2022, 2023, 2024",2,"Phase I: MCQ
(Prelims – Obj.)","Phase II: MCQ
(Mains – Obj.)","—
(No Stage 3; merit-based)"
"IPPB / Regional Rural Banks
(RBI-linked Recruitment)","IBPS RRB Officer Scale-II
(Variant 5 – Specialist)","2012–2024
(annual via IBPS CRP RRB)","2020 (COVID – held in 2021)
No other major gaps","2013, 2014, 2015, 2016, 2017, 2018,
2019, 2021, 2022, 2023, 2024",1,"Single Stage: MCQ
(One-tier Obj. exam)","—
(No Stage 2)","—
(No Stage 3)"
"IPPB / Regional Rural Banks
(RBI-linked Recruitment)","IBPS RRB Officer Scale-III
(Variant 5 – Senior Manager)","2012–2024
(annual via IBPS CRP RRB)","2020 (COVID – held in 2021)
No other major gaps","2013, 2014, 2015, 2016, 2017, 2018,
2019, 2021, 2022, 2023, 2024",1,"Single Stage: MCQ
(One-tier Obj. exam)","—
(No Stage 2)","—
(No Stage 3)"
,,,,,,,,
LEGEND / NOTES,,,,,,,,
MCQ / Obj.,Multiple Choice / Objective type – computer-based or OMR,,,,,,,
Written / Descriptive,"Conventional written answers, essay, or descriptive papers (pen & paper)",,,,,,,
Both,Combination of MCQ (Part A) + Descriptive (Part B) in same paper,,,,,,,
Interview,Personal Interview / Panel Interview round,,,,,,,
COVID gap (2020),Most exams deferred / cancelled in 2020; cycles resumed in 2021,,,,,,,
Paper Availability,Years for which official or widely-circulated unofficial papers are accessible online,,,,,,,
—,Stage not applicable for this exam,,,,,,,
